num_peptides,max_peptides_per_pool,num_replicates,allow_extra_pools,precision,recall,f1,num_pools,num_violations
400,28,4,False,0.703,0.818,0.746,60,2946
400,28,5,False,0.991,1.000,0.995,75,5024
400,29,2,True,0.232,0.414,0.295,43,0
400,29,2,False,0.130,0.183,0.150,28,634
400,29,3,True,0.794,0.911,0.839,73,0
400,29,3,False,0.375,0.516,0.429,42,1818
400,29,4,False,0.620,0.763,0.672,56,3632
400,29,5,False,0.840,0.908,0.868,70,6188
400,30,2,True,0.227,0.360,0.277,43,0
400,30,2,False,0.189,0.264,0.218,28,614
400,30,3,True,0.774,0.920,0.830,73,0
400,30,3,False,0.364,0.523,0.422,42,1792
400,30,4,False,0.751,0.859,0.796,56,3682
400,30,5,False,0.890,0.940,0.911,70,6136
400,31,2,True,0.194,0.324,0.240,44,0
400,31,2,False,0.187,0.258,0.214,26,780
400,31,3,True,0.840,0.942,0.879,76,0
400,31,3,False,0.333,0.488,0.390,39,2318
400,31,4,False,0.581,0.741,0.640,52,4560
400,31,5,False,0.784,0.887,0.825,65,7382
400,32,2,True,0.235,0.413,0.297,44,0
400,32,2,False,0.099,0.139,0.115,26,780
400,32,3,True,0.851,0.936,0.884,75,0
400,32,3,False,0.341,0.492,0.397,39,2316
400,32,4,False,0.598,0.722,0.643,52,4298
400,32,5,False,0.872,0.910,0.887,65,7446
400,33,2,True,0.213,0.357,0.265,44,0
400,33,2,False,0.127,0.159,0.140,26,750
400,33,3,True,0.823,0.938,0.868,76,0
400,33,3,False,0.336,0.509,0.401,39,2240
400,33,4,False,0.620,0.794,0.682,52,4642
400,33,5,False,0.849,0.919,0.876,65,7340
400,34,2,True,0.185,0.289,0.223,46,0
400,34,2,False,0.103,0.127,0.113,24,992
400,34,3,True,0.765,0.932,0.832,80,0
400,34,3,False,0.262,0.450,0.329,36,2852
400,34,4,False,0.543,0.668,0.590,48,5614
400,34,5,False,0.773,0.848,0.803,60,9108
400,35,2,True,0.207,0.361,0.259,46,0
400,35,2,False,0.105,0.170,0.126,24,952
400,35,3,True,0.787,0.922,0.839,80,0
400,35,3,False,0.282,0.457,0.344,36,2788
400,35,4,False,0.520,0.692,0.585,48,5490
400,35,5,False,0.794,0.889,0.832,60,9144
400,36,2,True,0.295,0.470,0.361,46,0
400,36,2,False,0.140,0.188,0.159,24,948
400,36,3,True,0.883,0.973,0.921,80,0
400,36,3,False,0.337,0.444,0.376,36,2874
400,36,4,False,0.505,0.699,0.573,48,5468
400,36,5,False,0.795,0.870,0.824,60,9006
400,37,2,True,0.253,0.448,0.321,48,0
400,37,2,False,0.107,0.144,0.121,22,1166
400,37,3,True,0.775,0.924,0.834,80,0
400,37,3,False,0.254,0.383,0.299,33,3536
400,37,4,False,0.463,0.561,0.501,44,6776
400,37,5,False,0.724,0.809,0.758,55,11126
400,38,2,True,0.259,0.442,0.324,48,0
400,38,2,False,0.140,0.153,0.143,22,1174
400,38,3,True,0.735,0.916,0.808,80,0
400,38,3,False,0.221,0.353,0.269,33,3512
400,38,4,False,0.516,0.679,0.575,44,6834
400,38,5,False,0.703,0.809,0.744,55,11046
400,39,2,True,0.239,0.425,0.304,48,0
400,39,2,False,0.104,0.142,0.119,22,1188
400,39,3,True,0.748,0.915,0.813,80,0
400,39,3,False,0.232,0.313,0.265,33,3432
400,39,4,False,0.521,0.679,0.579,44,6800
400,39,5,False,0.668,0.807,0.719,55,11054
400,40,2,True,0.285,0.487,0.356,48,0
400,40,2,False,0.139,0.167,0.145,20,1498
400,40,3,True,0.776,0.914,0.832,80,0
400,40,3,False,0.206,0.289,0.239,30,4336
400,40,4,False,0.373,0.520,0.428,40,8364
400,40,5,False,0.614,0.753,0.665,50,13352
400,41,2,True,0.235,0.376,0.288,48,0
400,41,2,False,0.082,0.096,0.088,20,1470
400,41,3,True,0.720,0.880,0.781,80,0
400,41,3,False,0.220,0.351,0.267,30,4216
400,41,4,False,0.381,0.566,0.450,40,8214
400,41,5,False,0.603,0.715,0.647,50,13594
400,42,2,True,0.290,0.454,0.352,48,0
400,42,2,False,0.074,0.079,0.076,20,1472
400,42,3,True,0.804,0.917,0.848,80,0
400,42,3,False,0.206,0.311,0.245,30,4272
400,42,4,False,0.397,0.523,0.443,40,8230
400,42,5,False,0.611,0.725,0.654,50,13346
400,43,2,True,0.247,0.406,0.303,48,0
400,43,2,False,0.096,0.107,0.100,20,1522
400,43,3,True,0.816,0.933,0.862,80,0
400,43,3,False,0.172,0.276,0.209,30,4250
400,43,4,False,0.426,0.595,0.491,40,8244
400,43,5,False,0.672,0.778,0.713,50,13456
400,44,2,True,0.227,0.381,0.283,48,0
400,44,2,False,0.102,0.122,0.109,20,1516
400,44,3,True,0.751,0.914,0.813,80,0
400,44,3,False,0.250,0.389,0.299,30,4350
400,44,4,False,0.422,0.545,0.467,40,8392
400,44,5,False,0.597,0.717,0.642,50,13248
400,45,2,True,0.288,0.489,0.360,48,0
400,45,2,False,0.076,0.084,0.079,18,1838
400,45,3,True,0.779,0.917,0.832,80,0
400,45,3,False,0.177,0.277,0.212,27,5442
400,45,4,False,0.355,0.471,0.401,36,10276
400,45,5,False,0.541,0.660,0.587,45,16628
400,46,2,True,0.238,0.409,0.299,48,0
400,46,2,False,0.101,0.114,0.106,18,1902
400,46,3,True,0.860,0.962,0.902,80,0
400,46,3,False,0.183,0.272,0.216,27,5202
400,46,4,False,0.353,0.551,0.425,36,10424
400,46,5,False,0.559,0.701,0.615,45,16794
400,47,2,True,0.291,0.466,0.357,48,0
400,47,2,False,0.095,0.087,0.089,18,1838
400,47,3,True,0.742,0.903,0.804,80,0
400,47,3,False,0.182,0.290,0.219,27,5476
400,47,4,False,0.302,0.421,0.348,36,10372
400,47,5,False,0.521,0.626,0.561,45,16606
400,48,2,True,0.315,0.486,0.379,48,0
400,48,2,False,0.097,0.102,0.097,18,1892
400,48,3,True,0.685,0.883,0.762,80,0
400,48,3,False,0.202,0.288,0.235,27,5476
400,48,4,False,0.375,0.515,0.429,36,10332
400,48,5,False,0.556,0.654,0.594,45,16722
400,49,2,True,0.250,0.360,0.291,48,0
400,49,2,False,0.052,0.061,0.055,18,1848
400,49,3,True,0.744,0.924,0.812,80,0
400,49,3,False,0.151,0.219,0.176,27,5288
400,49,4,False,0.410,0.528,0.457,36,10362
400,49,5,False,0.534,0.636,0.571,45,16704
400,50,2,True,0.294,0.474,0.360,48,0
400,50,2,False,0.069,0.073,0.070,16,2444
400,50,3,True,0.720,0.899,0.788,80,0
400,50,3,False,0.130,0.163,0.143,24,6818
400,50,4,False,0.275,0.416,0.327,32,13082
400,50,5,False,0.426,0.562,0.475,40,21080
400,51,2,True,0.258,0.426,0.319,48,0
400,51,2,False,0.127,0.133,0.127,16,2476
400,51,3,True,0.834,0.937,0.875,80,0
400,51,3,False,0.146,0.188,0.162,24,6906
400,51,4,False,0.343,0.486,0.396,32,13096
400,51,5,False,0.407,0.556,0.465,40,21092
400,52,2,True,0.233,0.399,0.292,48,0
400,52,2,False,0.089,0.078,0.081,16,2376
400,52,3,True,0.791,0.898,0.832,80,0
400,52,3,False,0.145,0.207,0.167,24,6726
400,52,4,False,0.242,0.440,0.308,32,12972
400,52,5,False,0.478,0.611,0.527,40,20984
400,53,2,True,0.268,0.432,0.328,48,0
400,53,2,False,0.057,0.056,0.055,16,2340
400,53,3,True,0.792,0.948,0.854,80,0
400,53,3,False,0.160,0.205,0.178,24,6858
400,53,4,False,0.315,0.423,0.352,32,13174
400,53,5,False,0.445,0.561,0.489,40,21100
400,54,2,True,0.298,0.445,0.355,48,0
400,54,2,False,0.044,0.050,0.046,16,2386
400,54,3,True,0.796,0.941,0.855,80,0
400,54,3,False,0.169,0.238,0.196,24,6960
400,54,4,False,0.267,0.395,0.312,32,13252
400,54,5,False,0.521,0.615,0.555,40,21152
400,55,2,True,0.248,0.427,0.310,48,0
400,55,2,False,0.066,0.071,0.068,16,2324
400,55,3,True,0.812,0.919,0.856,80,0
400,55,3,False,0.145,0.216,0.171,24,6850
400,55,4,False,0.326,0.428,0.365,32,13226
400,55,5,False,0.499,0.561,0.523,40,20914
400,56,2,True,0.229,0.428,0.296,48,0
400,56,2,False,0.051,0.056,0.053,16,2334
400,56,3,True,0.782,0.907,0.832,80,0
400,56,3,False,0.169,0.236,0.193,24,6810
400,56,4,False,0.332,0.416,0.365,32,13186
400,56,5,False,0.470,0.557,0.502,40,21044
400,57,2,True,0.274,0.473,0.344,48,0
400,57,2,False,0.061,0.071,0.064,16,2366
400,57,3,True,0.761,0.918,0.823,80,0
400,57,3,False,0.095,0.104,0.098,24,6904
400,57,4,False,0.267,0.396,0.314,32,13144
400,57,5,False,0.434,0.558,0.480,40,20994
400,58,2,True,0.225,0.366,0.276,48,0
400,58,2,False,0.037,0.040,0.037,14,3112
400,58,3,True,0.791,0.920,0.843,80,0
400,58,3,False,0.134,0.184,0.151,21,9002
400,58,4,False,0.226,0.334,0.265,28,17068
400,58,5,False,0.372,0.509,0.420,35,27512
400,59,2,True,0.251,0.449,0.319,48,0
400,59,2,False,0.025,0.025,0.024,14,3072
400,59,3,True,0.834,0.902,0.860,80,0
400,59,3,False,0.144,0.152,0.145,21,8982
400,59,4,False,0.200,0.276,0.230,28,17082
400,59,5,False,0.449,0.558,0.492,35,27122
400,60,2,True,0.242,0.380,0.293,48,0
400,60,2,False,0.109,0.098,0.100,14,3134
400,60,3,True,0.795,0.954,0.858,80,0
400,60,3,False,0.127,0.146,0.133,21,8880
400,60,4,False,0.233,0.332,0.270,28,16992
400,60,5,False,0.378,0.447,0.404,35,27368
400,61,2,True,0.262,0.443,0.326,48,0
400,61,2,False,0.081,0.093,0.085,14,3124
400,61,3,True,0.731,0.899,0.796,80,0
400,61,3,False,0.128,0.173,0.145,21,9208
400,61,4,False,0.277,0.354,0.303,28,17196
400,61,5,False,0.395,0.511,0.440,35,27506
400,62,2,True,0.238,0.375,0.290,48,0
400,62,2,False,0.022,0.020,0.020,14,3066
400,62,3,True,0.792,0.897,0.834,80,0
400,62,3,False,0.130,0.169,0.145,21,9002
400,62,4,False,0.225,0.336,0.265,28,17082
400,62,5,False,0.357,0.492,0.407,35,27448
400,63,2,True,0.312,0.512,0.385,48,0
400,63,2,False,0.049,0.043,0.044,14,3096
400,63,3,True,0.822,0.965,0.880,80,0
400,63,3,False,0.118,0.157,0.134,21,8938
400,63,4,False,0.256,0.374,0.299,28,17362
400,63,5,False,0.375,0.493,0.420,35,27534
400,64,2,True,0.243,0.386,0.296,48,0
400,64,2,False,0.067,0.082,0.072,14,3116
400,64,3,True,0.785,0.953,0.852,80,0
